x,y
1055.0,350
651.5,940
1060.5,351
657.5,946
1067.0,351
658.5,947
1074.5,350
659.0,947
1074.0,350
658.5,947
1079.0,350
660.0,946
1082.0,349
661.0,944
1085.5,350
661.5,944
1090.0,350
663.5,946
1097.5,348
664.5,947
1099.0,349
664.5,950
1104.0,348
663.5,954
1112.0,350
663.5,957
1117.0,350
664.5,961
1120.5,351
664.5,962
1124.5,350
664.5,962
1126.0,350
662.5,962
1129.0,351
661.5,962
1132.0,351
661.0,963
1133.5,350
660.0,960
1136.5,349
655.5,959
1138.0,348
647.5,958
1138.0,348
635.5,958
1140.5,347
630.5,957
1140.0,347
629.5,957
1138.0,347
626.0,958
1135.5,348
624.0,958
1130.5,348
621.0,958
1128.0,347
614.0,958
1115.0,348
606.5,958
1104.5,349
604.5,959
1101.0,349
599.0,958
1097.0,349
591.0,958
1095.0,348
589.0,958
1093.0,346
585.5,958
1092.0,348
584.0,958
1088.0,346
582.0,958
1086.5,345
579.5,958
1075.0,346
1068.5,347
578.0,959
578.0,959
1066.5,347
572.0,960
1065.0,348
569.5,960
1063.0,347
572.5,959
1059.5,346
1054.0,346
571.0,961
567.0,955
1049.5,346
563.5,954
1045.5,345
566.0,948
1038.5,345
567.0,945
1033.5,344
560.0,944
1029.5,343
564.5,941
1023.5,342
562.5,939
1013.0,343
561.0,938
1010.5,343
563.5,932
1005.0,343
565.0,931
1000.5,343
565.0,930
999.0,343
564.5,925
998.0,344
559.5,925
998.0,343
558.0,925
997.5,343
554.0,927
997.0,343
553.5,929
996.5,343
554.0,929
997.0,343
556.5,929
997.0,344
561.0,930
997.5,344
562.5,930
999.0,345
567.0,930
1000.5,345
571.5,930
1004.0,345
576.0,930
1006.0,345
584.5,930
1010.5,344
597.0,930
1016.0,345
603.5,928
1020.5,345
618.5,929
1026.5,345
632.0,931
1028.5,345
636.5,931
1029.5,346
645.0,932
1033.5,344
653.0,936
1039.5,343
658.0,939
1041.5,344
672.5,946
1044.0,344
685.5,950
1049.5,342
691.0,955
1052.5,342
697.0,963
1056.0,341
699.0,966
1057.5,339
701.0,967
1064.0,340
705.5,967
1060.5,338
711.0,968
1065.5,341
714.5,969
1066.0,340
720.5,967
1074.5,341
725.0,967
1078.0,340
729.0,969
1081.5,339
735.5,975
1085.5,338
741.0,981
1088.5,338
744.0,985
1090.5,337
748.0,993
1096.5,338
754.0,999
1100.5,337
755.5,1003
1101.5,337
757.5,1008
1101.5,337
755.5,1012
1102.5,338
756.0,1013
1102.5,343
760.0,1012
1104.5,339
771.5,1014
1107.5,338
779.5,1016
1109.5,338
791.0,1017
1112.5,338
811.5,1017
1115.5,338
823.5,1017
1115.5,338
845.5,1016
1117.0,339
862.5,1015
1114.5,340
867.5,1016
1113.5,339
880.0,1017
1106.5,340
892.5,1017
1101.5,339
902.5,1020
1099.0,339
916.5,1026
1094.5,340
940.5,1026
1089.5,338
954.0,1024
1087.5,337
983.0,1025
1080.0,337
1008.5,1034
1070.5,337
1067.0,337
1008.0,1032
1034.5,1031
1063.5,337
1047.0,1039
1059.0,337
1053.0,1038
1057.0,336
1051.5,336
1069.0,1054
1075.5,1077
1046.5,336
1079.5,1044
1046.0,336
1091.0,1044
1036.0,336
1109.0,1042
1025.5,337
1125.0,1042
1021.5,337
1134.0,1038
1011.5,335
1150.0,1041
1003.0,335
1161.0,1042
998.5,336
1164.0,1025
989.0,336
1170.0,1024
980.5,336
1173.5,1024
977.0,336
1182.5,1023
965.0,337
1196.0,1027
955.5,336
1210.5,1040
951.0,336
1228.0,1040
943.0,336
1239.0,1042
939.5,336
1251.0,1072
936.5,337
1262.0,1073
933.5,338
1270.5,1074
928.0,339
1277.0,1072
925.0,339
1286.5,1070
910.5,341
1293.0,1055
899.0,348
1292.5,1058
888.0,349
1294.0,1066
883.0,348
1293.0,1060
874.0,340
1291.0,1057
872.0,339
1289.0,1049
860.0,339
1290.5,1042
851.5,340
1291.0,1040
849.0,340
1291.0,1028
836.0,342
1288.0,1023
813.5,342
1285.5,1021
807.5,341
1283.0,1018
797.0,340
1280.5,1019
783.0,339
1280.0,1018
779.0,339
1277.5,1018
772.5,343
1283.0,1017
759.5,345
1285.5,1016
753.5,345
1285.5,1013
744.5,345
1275.5,1006
732.5,345
1266.5,1003
728.5,345
1246.5,999
720.5,345
1225.0,994
712.5,346
1220.5,993
709.5,344
1204.5,991
703.0,346
1191.0,990
698.0,345
1184.5,990
694.0,346
1173.0,988
689.0,345
1158.5,989
